id_offre,EducationLevel,Sectors,Title,skills,class
200,Bac+3;,"Hôtellerie;restauration;Industrie;production;fabrication;autres;Intérim;recrutement;Transports;logistique;services postaux;",Dispatcheur,"3D 2D,qualité,maintenance","De 2 à 5 ans"
201,Bac+2;,"Automobile;matériels de transport;réparation;BTP;construction;Equipements mécaniques;machines;Industrie;production;fabrication;autres;Métallurgie;sidérurgie;","Technicien CNC - Poste Basé Sur Bouskoura","processus,amélioration continue,DU,électromécanique,machines,maintenance préventive,usinage,AUTOCAD,dessin industriel,automatisme,production,qualité,maintenance","De 2 à 5 ans"
202,"Bac+5 et plus;",Hôtellerie;restauration;Tourisme;loisirs;,"Chargé de Développement Ressources Humaines (RH)","gestion RH,formation,recrutement,projets RH","De 2 à 5 ans"
203,Bac+2;,"Centres d´appel;hotline;call center;","Conseiller Clients Dutch / Néerlandais H/F","assistance,formation,conseil","3 ans"
204,Bac+2;,"Centres d´appel;hotline;call center;","Team Leader Hispanophone /Anglophone En Shift de Nuit","leadership,management,gestion,stratégie","De 2 à 5 ans"
205,Bac+2;,BTP;construction;,"ADV & Assistant Client (Administration des Ventes)","achats,négociation","3 ans"
206,Bac+2;,BTP;construction;Import;export;,"Acheteur Industriel / Approvisionneur","achats,approvisionnements,vente","3 ans"
207,Bac+2;,"BTP;construction;Ingénierie;études développement;Métallurgie;sidérurgie;","Technicien(ne) Bureau D´Etudes - Bouskoura","qualité,SOLIDWORKS,chiffrage,AUTOCAD,DU,production,maintenance,génie mécanique","De 2 à 5 ans"
208,Bac+3;,BTP;construction;Import;export;Métallurgie;sidérurgie;,"Approvisionneur / Acheteur Industriel - Bouskoura","achats,approvisionnements","De 2 à 5 ans"
209,Bac+2;,Industrie;production;fabrication;autres;,"Technicien de Conception et Dessin Assistés par Ordinateur","qualité,CREO,CATIA,DU,maintenance,fabrication,process","De 2 à 5 ans"
210,"Qualification avant bac;","Distribution;vente;commerce de gros;","Animateur en Intérim","vente,animation commerciale","De 2 à 5 ans"
211,"Bac+5 et plus;",Banque;assurance;finances;,Auditeur,"comptabilité,audit,gestion","De 2 à 5 ans"
212,Bac+2;,Industrie;production;fabrication;autres;Textile;habillement;cuir;chaussures;,"Technicien Méthodes (Confection)","fabrication,machines,productivité,production,qualité,processus,gamme de fabrication,montage,maintenance,confection","De 2 à 5 ans"
213,"Bac+5 et plus;",Conseil;audit;comptabilité;,"Collaborateurs Comptable Junior","comptabilité,finance,rapprochement bancaire,gestion","De 2 à 5 ans"
214,"Bac+5 et plus;",Conseil;audit;comptabilité;,"Collaborateur Comptable Sénior","comptabilité,finance,rapprochement bancaire,gestion","De 2 à 5 ans"
215,Bac+3;,Conseil;audit;comptabilité;Secrétariat;,"Assistante Administrative","assistanat,finance,administration,fiches,facturation,gestion","3 ans"
216,Bac+3;,"Automobile;matériels de transport;réparation;Location;","Commercial Sédentaire BtoB","prospection,prise de RDV,suivi commercial,proposition commerciale,business communication,EXCEL,communication,marketing,vente,CRM,delivery","De 2 à 5 ans"
217,Bac+2;,Secrétariat;,"Secrétaire Administrative","assistanat,dossiers,traitement administratif,traitement de texte","De 2 à 5 ans"
218,Bac+3;,Electricité;eau;gaz;nucléaire;énergie;,Comptable,"comptabilité,finance,rapprochement bancaire,gestion","De 2 à 5 ans"
219,Bac+2;,Banque;assurance;finances;Informatique;SSII;Internet;,"Technicien Informatique","WAN,PABX","3 ans"
220,"Bac+5 et plus;","Informatique;SSII;Internet;Ingénierie;études développement;","Teamcenter Solution Architect","BATCH,TEAMCENTER,J2EE,CATIA,SOLIDWORKS,CAO,API,NX,JAVA,AUTOCAD","10 ans;"
221,"Bac+5 et plus;","Informatique;SSII;Internet;Ingénierie;études développement;","Consultant Teamcenter","AUTOCAD,CATIA,BATCH,SOLIDWORKS,NX,J2EE,CAO,TEAMCENTER,API,JAVA","De 5 à 10 ans"
222,"Qualification avant bac;",Immobilier;architecture;urbanisme;,"Chauffeur - Permis B - Errahma","domaine du transport,transport","De 2 à 5 ans"
223,Bac+2;,Import;export;Industrie;production;fabrication;autres;Textile;habillement;cuir;chaussures;,"Technicien Qualité Confection","qualité,production,confection,contrôle de qualité,DU,qualité de la production,maintenance,machines,fabrication","3 ans"
224,Bac;,Banque;assurance;finances;,"Chauffeur PDG","entretien,transport","De 5 à 10 ans"
225,"Bac+5 et plus;",Industrie;production;fabrication;autres;Textile;habillement;cuir;chaussures;,"Responsable Production","lean management,qualité,production,génie industriel,SMQ,hygiène,maintenance,projets lean","De 2 à 5 ans"
