id_offre,EducationLevel,Sectors,Title,skills,class
0,Bac+2;,"Automobile;matériels de transport;réparation;","Commercial(e) Basé(e) Sur la Ville de Meknès / Marché Français","télévente,négociation,vente","De 2 à 5 ans"
1,Bac+3;,Immobilier;architecture;urbanisme;,"Assistante Administrative RH Intérimaire","communication écrite,administration,gestion administrative,dossiers,suivi des dossiers,assistanat,secrétariat,dossiers administratifs","3 ans"
2,"Bac+5 et plus;",Informatique;SSII;Internet;,"FINOPS - PMO",BI,"De 2 à 5 ans"
3,Bac+2;,Intérim;recrutement;Télécom;,"Animateur de Vente - Marrakech",vente,"De 2 à 5 ans"
4,Bac+3;,"Santé;pharmacie;hôpitaux;équipements médicaux;","Infirmier(e) de Réanimation Polyvalente","soins intensifs","De 5 à 10 ans"
5,Bac+3;,"Santé;pharmacie;hôpitaux;équipements médicaux;","Responsable de Stérilisation","santé,bloc opératoire,hygiène","De 5 à 10 ans"
6,Bac+2;,Marketing;communication;médias;,"Assistante Commerciale à Meknès","gestion commerciale,gestion,vente,comptabilité,finance","De 2 à 5 ans"
7,Bac+3;,Agriculture;pêche;aquaculture;,"Commercial Agriculture Agadir et la Région",vente,"3 ans"
9,"Qualification avant bac;",Agroalimentaire;,"Vendeuse Qualifiée pour une Pâtisserie - Salé Médina",vente,"3 ans"
10,Bac+2;,"Automobile;matériels de transport;réparation;","Commercial(e) Sédentaire à Casablanca","négociation,vente","De 2 à 5 ans"
11,Bac+2;,"Automobile;matériels de transport;réparation;","Commercial Hybride à Casablanca","négociation,vente","3 ans"
13,"Bac+5 et plus;","Informatique;SSII;Internet;Ingénierie;études développement;","Ingénieur Systèmes et Réseaux H/F","infrastructure,AZURE","10 ans;"
14,Bac+2;,"Automobile;matériels de transport;réparation;Distribution;vente;commerce de gros;","Commerciale Terrain Secteur Automobile à Casablanca","négociation,développement commercial","3 ans"
15,Bac+4;,Intérim;recrutement;,"Gestionnaire de Paie","formation,cotisations sociales","De 2 à 5 ans"
16,Bac+2;,Banque;assurance;finances;,"Chargé(e) D'assistance Sidi Maarouf","réception,assurance","De 2 à 5 ans"
17,"Bac+5 et plus;","Informatique;SSII;Internet;Ingénierie;études développement;Marketing;communication;médias;","Administrateur de Base de Données H/F","MARIADB,SQL","De 2 à 5 ans"
18,Bac+2;,Agroalimentaire;,"Contremaître de Ligne;Opérateur de Ligne de Production","mécanique industrielle,fabrication,montage,DU,assemblage,production,procédés,maintenance,emballage,qualité,productivité,hygiène","De 2 à 5 ans"
19,Bac+2;,"Maintenance;entretien;service après vente;","Technicien de Service Travaux Spécialisé dans les Ascenseurs","qualité,DU,maintenance,électromécanique,process,réparation,hydraulique,démontage,production,processus,montage","De 5 à 10 ans"
20,Bac+3;,Aéronautique;navale;,"Technicien Avionique","avionique,qualité,aéronautique,maintenance,industrie,DU,production","De 5 à 10 ans"
21,Bac+2;,Hôtellerie;restauration;,Bagagiste,"restauration,tourisme,hôtellerie","3 ans"
22,"Bac+5 et plus;","Automobile;matériels de transport;réparation;","Ingénieur Qualité Développement","industrie automobile,amélioration continue,AMDEC,qualité,métrologie,maintenance,industrie,DU,process,production","De 2 à 5 ans"
23,Bac+2;,Industrie;production;fabrication;autres;Textile;habillement;cuir;chaussures;,"Technicien Fabrication Mécanique ou Mécanique Auto - Tanger","électromécanique,production,maintenance,fabrication mécanique,machines,paramétrage,qualité,fabrication","De 2 à 5 ans"
24,Bac+2;,Métallurgie;sidérurgie;,"Assistante de Facturation","facturation,gestion,finance,comptabilité","De 2 à 5 ans"
25,Bac+2;,"Automobile;matériels de transport;réparation;","Développeur Web Meknès","marketing,communication","3 ans"
26,"Bac+5 et plus;",Éducation;formation;,"Responsable Contrôle Interne et Contrôle de Gestion","comptabilité,finance,gestion","10 ans;"
27,"Bac+5 et plus;","Distribution;vente;commerce de gros;Édition;imprimerie;Éducation;formation;","Responsable Commercial dans le Domaine de L’éducation et la Formation","actions commerciales,marketing relationnel,recouvrement,gestion commerciale","De 2 à 5 ans"
28,"Bac+5 et plus;","Distribution;vente;commerce de gros;Édition;imprimerie;Éducation;formation;","Responsable de Librairie","vente,gestion,merchandising,management,leadership","De 2 à 5 ans"
29,Bac+3;,"Distribution;vente;commerce de gros;Édition;imprimerie;Éducation;formation;","Commercial Terrain (Délégué Pédagogique)",commercialisation,"De 5 à 10 ans"
30,Bac+3;,"Distribution;vente;commerce de gros;Édition;imprimerie;Éducation;formation;","Assistante de Direction Anglophone","communication,assistanat,administration,secrétariat,rédaction","De 2 à 5 ans"
31,Bac+3;,"Distribution;vente;commerce de gros;Édition;imprimerie;Éducation;formation;","Assistante Administrative Anglophone","assistanat,secrétariat,documents administratifs,rédaction,administration,dossiers","De 2 à 5 ans"
32,Bac+2;,"Industrie;production;fabrication;autres;Maintenance;entretien;service après vente;","Techniciens - Maintenance des Chariots Elévateurs - Casablanca","maintenance électromécanique,qualité,maintenance,électromécanique","De 2 à 5 ans"
33,"Bac+5 et plus;",Éducation;formation;,"Responsable Centre de Formation","pédagogie,team leadership,management,amélioration continue,gestion,stratégie,leadership,formation","De 2 à 5 ans"
34,Bac+2;,Ameublement;décoration;,"Technicien D'études Menuiserie Aluminium","qualité,BTP,construction métallique,maintenance,menuiserie,production,DU,menuiserie aluminium,aluminium,construction","De 2 à 5 ans"
35,Bac+2;,Nettoyage;sécurité;surveillance;,"Technicien Réseau Informatique - Électricité Bâtiment - Casablanca","qualité,maintenance,production,installation d'équipements","De 2 à 5 ans"
37,"Bac+5 et plus;",Informatique;SSII;Internet;,"Business Analyst Java","GIT,AGILE,JAVA,JIRA,CONFLUENCE,PROXY,TOMCAT,J2EE,SQL,SCRUM","De 5 à 10 ans"
38,"Bac+5 et plus;",Informatique;SSII;Internet;,"Expert Test de Charge & Stress","LOADRUNNER,JAVA,API,JMETER,APACHE","De 5 à 10 ans"
39,"Bac+5 et plus;",Informatique;SSII;Internet;,"Data Architect","AZURE,PYTHON,SPARK,PAAS,BATCH,BIG DATA,APACHE,SCALA,LINUX,DOCKER,JAVA","10 ans;"
40,"Bac+5 et plus;",Informatique;SSII;Internet;,"Tech Lead Développeur Python","AGILE,GIT,PYTHON,LINUX,GITLAB,JIRA,SCRUM,CONFLUENCE","De 5 à 10 ans"
41,"Bac+5 et plus;",Informatique;SSII;Internet;,"Architecte SI","TOGAF,UML,ITIL,BSCS,OSS","10 ans;"
42,"Qualification avant bac;",Hôtellerie;restauration;,"Lingère / Gestionnaire de Pressing","maintenance,réception,nettoyage","De 5 à 10 ans"
43,"Bac+5 et plus;","Automobile;matériels de transport;réparation;","Account Manager BtoB","développement commercial,négociation commerciale,actions commerciales,vente,gestion des réclamations,négociation","De 2 à 5 ans"
44,"Bac+5 et plus;","Automobile;matériels de transport;réparation;","Chef de Projets IT & SI","SALESFORCE,NAVISION,gestion,management","De 5 à 10 ans"
45,"Bac+5 et plus;","Santé;pharmacie;hôpitaux;équipements médicaux;","Responsable Magasin","chaîne logistique,transportation,transport,management","De 5 à 10 ans"
46,"Bac+5 et plus;","Santé;pharmacie;hôpitaux;équipements médicaux;","Chargé de Facturation","facturation,finance,gestion,comptabilité","De 5 à 10 ans"
